SHIP_ID,SHIP_TYPE,ROUTE_ID,MONTH,DISTANCE,WEATHER_CONDITIONS,ENGINE_EFFICIENCY,Actual_Fuel_L,Predicted_Fuel_L,Fuel_Error_L,Actual_CO2_kg,Predicted_CO2_kg,CO2_Error_kg
NG001,TYPE1,ROUTE1,January,132.26,Stormy,92.14,3779.77,3827.140100000002,47.37010000000191,10625.76,10799.697700000008,173.93770000000768
NG001,TYPE1,ROUTE2,February,128.52,Moderate,92.98,4461.44,3731.5356,729.9043999999994,12779.73,10526.328799999996,2253.401200000004
NG001,TYPE1,ROUTE2,March,67.3,Calm,87.61,1867.73,1946.7695000000024,79.03950000000236,5353.01,5468.744900000004,115.73490000000402
NG001,TYPE1,ROUTE2,April,71.68,Stormy,87.42,2393.51,2284.906800000002,108.6031999999982,6506.52,6286.509000000005,220.01099999999587
NG001,TYPE1,ROUTE3,May,134.32,Calm,85.61,4267.19,4084.919,182.27099999999973,11617.03,11351.421400000014,265.60859999998684
NG001,TYPE1,ROUTE2,June,85.93,Stormy,72.82,2342.13,2438.5802000000026,96.4502000000025,6753.42,6733.413700000002,20.00629999999819
NG001,TYPE1,ROUTE1,July,85.67,Moderate,93.93,2974.79,2876.1965999999998,98.5934000000002,8498.16,8037.0591,461.10089999999946
NG001,TYPE1,ROUTE1,August,44.81,Moderate,91.1,1376.38,1335.8543000000018,40.525699999998324,3509.56,3491.899499999999,17.660500000000866
NG001,TYPE1,ROUTE4,September,116.44,Calm,73.41,3661.75,3721.5001000000007,59.75010000000066,9423.97,9944.884099999988,520.914099999989
NG001,TYPE1,ROUTE3,October,99.73,Moderate,94.68,2551.99,2817.1127999999967,265.1227999999969,6416.66,7711.926900000002,1295.2669000000024
NG001,TYPE1,ROUTE2,November,149.9,Stormy,76.53,4014.14,4073.362600000004,59.22260000000415,11930.11,11908.956400000003,21.153599999997823
NG001,TYPE1,ROUTE4,December,53.21,Calm,84.59,1674.21,1595.0821000000008,79.12789999999927,4671.66,4435.7939999999935,235.86600000000635
